component,m,s,e,e_assoc,vol_a,assoc_scheme,dipm,dip_num,z,dielc,d_born,f_solv,MW
H2O,1.2047,2.7927,353.95,2425.7,0.04509,2B,,,,,,,0.01801528
Methanol,1.5255,3.23,188.9,2899.5,0.03518,2B,,,,,,,0.03204
Ethanol,2.3827,3.1771,198.24,2653.4,0.03238,2B,,,,,,,0.046068
Li+,,2.8449,360,,,,,,,8.0,,,0.00694
Na+,,2.8232,230,,,,,,,8.0,,,0.02298
K+,,3.3417,200,,,,,,,8.0,,,0.0391
Cl-,,2.756,170,,,,,,,8.0,,,0.03545
Br-,,3.0707,190,,,,,,,8.0,,,0.0799
I-,,3.6672,200,,,,,,,8.0,,,0.1269
