component,m,s,e,e_assoc,vol_a,assoc_scheme,dipm,dip_num,z,dielc,d_born,f_solv,MW
H2O,1.204659,2.7927,353.9449,2425.6714,0.0450989,2B,,,,,,,0.01801528
Methanol,,,,,,,,,,,,,0.03204
Ethanol,,,,,,,,,,,,,0.046068
Li+,,1.8177,2697.2795,,,,,,,8.0,,,0.00694
Na+,,2.4122,646.0504,,,,,,,8.0,,,0.02298
K+,,2.9698,271.0518,,,,,,,8.0,,,0.0391
Cl-,,3.0575,47.2878,,,,,,,8.0,,,0.03545
Br-,,3.4573,60.2216,,,,,,,8.0,,,0.0799
I-,,3.9319,80.4347,,,,,,,8.0,,,0.1269
