molality,miac,miac_m
0.001,0.96503476949,0.965
0.002,0.952068602186,0.952
0.005,0.929167361951,0.929
0.01,0.905326076568,0.905
0.02,0.877631976022,0.877
0.05,0.833498871296,0.832
0.1,0.799871635632,0.797
0.2,0.772527087904,0.767
0.3,0.76316092184,0.755
0.4,0.762837992448,0.752
0.5,0.76758352112,0.754
0.6,0.775408317024,0.759
0.7,0.786344807664,0.767
0.8,0.800425420544,0.778
0.9,0.814585300656,0.789
1,0.83193253968,0.803
1.2,0.870059384448,0.834
1.4,0.914935664864,0.871
1.6,0.965633442048,0.913
1.8,1.02226080768,0.96
2,1.08492585344,1.012
2.5,1.2710290824,1.166
3,1.50589659312,1.359
3.5,1.79951892208,1.598
4,2.16353515584,1.891
4.5,2.61713369504,2.252
5,3.1816919488,2.696
5.5,3.88446091536,3.242
6,4.7613578544,3.915
7,7.23529202976,5.778
8,11.1446029965,8.65100000001
9,17.348003024,13.1
10,27.219715056,20.01
11,42.7697765808,30.63
12,66.8342311552,46.66
13,103.022753165,70.1600000001
14,155.106510304,103.1
15,226.4473848,147
16,316.87428096,201
17,425.70515328,264
18,547.31862656,332
19,680.57057856,404
20,836.2170432,486
