molality,miac,miac_m
0.001,0.96503476949,0.965
0.002,0.952068602186,0.952
0.005,0.928167181798,0.928
0.01,0.903325355957,0.903
0.02,0.873629093578,0.873
0.05,0.825484459072,0.824
0.1,0.785821192848,0.783
0.6,0.706959888512,0.692
0.7,0.705352317696,0.688
0.8,0.706802395776,0.687
0.9,0.708245267744,0.686
1,0.71175299472,0.687
1.2,0.720876540352,0.691
1.4,0.732158620448,0.697
3,0.90420281088,0.816
3.5,0.98083916216,0.871
4,1.06861017216,0.934
4.5,1.1679482076,1.005
5,1.2781054824,1.083
5.5,1.40065848552,1.169
6,1.53360721696,1.261
