molality,miac,miac_m
0.001,0.96503476949,0.965
0.002,0.952068602186,0.952
0.005,0.928167181798,0.928
0.01,0.904325716262,0.904
0.02,0.874629814189,0.874
0.05,0.828489863656,0.827
0.1,0.791842811184,0.789
0.2,0.761447820672,0.756
0.3,0.751031211824,0.743
0.4,0.749650633536,0.739
0.5,0.75231329192,0.739
0.6,0.758040805312,0.742
0.7,0.766865601216,0.748
0.8,0.777791282688,0.756
0.9,0.78980704056,0.765
1,0.802923684,0.775
1.2,0.832502864256,0.798
1.4,0.8666152968,0.825
1.6,0.90428980608,0.855
1.8,0.945591247104,0.888
2,0.99058447488,0.924
2.5,1.1216886156,1.029
3,1.28206207376,1.157
3.5,1.47745233152,1.312
4,1.71503923776,1.499
4.5,2.00584935952,1.726
5,2.3603056,2
5.5,2.7917316264,2.33
6,3.3201805728,2.73
7,4.7083243392,3.76
8,6.6859888512,5.19
9,9.4155955344,7.11
10,13.05893376,9.6
