ion,paper_mu,epcsaft_mu,a,z,dadx,sum_xj_dadx,resid_a_plus_z_minus_sumxj_dadx,paper_minus_dadx,paper_minus_mu
Li+,0.0,-1.542275008510105e-05,-0.0,-1.5422750085071796e-17,-1.5422750085085626e-05,0.0,-1.5422750085071796e-17,1.5422750085085626e-05,1.542275008510105e-05
Na+,0.0,-1.542275058342328e-05,-4.285518512658694e-17,2.743243454319292e-17,-1.5422750583407858e-05,1.5277752237313518e-32,-1.5422750583394037e-17,1.5422750583407858e-05,1.542275058342328e-05
K+,0.0,-1.542273834526829e-05,-2.5841989025559894e-17,1.0419250680320881e-17,-1.5422738345252867e-05,-3.8194380593283795e-33,-1.542273834523901e-17,1.5422738345252867e-05,1.542273834526829e-05
F-,0.0,-1.5422775369645137e-05,-0.0,-1.5422775369615883e-17,-1.5422775369629714e-05,-5.7291570889925696e-33,-1.5422775369615877e-17,1.5422775369629714e-05,1.5422775369645137e-05
Cl-,0.0,-1.5422752164627497e-05,-0.0,-1.5422752164598228e-17,-1.5422752164612074e-05,-3.8194380593283795e-33,-1.5422752164598222e-17,1.5422752164612074e-05,1.5422752164627497e-05
Br-,0.0,-1.542274474533638e-05,-0.0,-1.542274474530711e-17,-1.5422744745320957e-05,-3.8194380593283795e-33,-1.5422744745307106e-17,1.5422744745320957e-05,1.542274474533638e-05
I-,0.0,-1.542273067165414e-05,-0.0,-1.5422730671624895e-17,-1.542273067163872e-05,-3.8194380593283795e-33,-1.5422730671624888e-17,1.542273067163872e-05,1.542273067165414e-05

