ion,paper_mu,epcsaft_mu,a,z,dadx,sum_xj_dadx,resid_a_plus_z_minus_sumxj_dadx,paper_minus_dadx,paper_minus_mu
Li+,-548.603352,-547.8557220664677,-5.478557220659263e-10,0.0,-547.8557220664749,-5.549624249076232e-10,7.1067028416969945e-12,-0.7476299335251042,-0.7476299335322665
Na+,-553.0726257,-552.0667128460237,-5.520667128454781e-10,0.0,-552.0667128460309,-5.5922804003248e-10,7.161327187001923e-12,-1.0059128539691073,-1.0059128539762696
K+,-466.4804469,-466.4077396854577,-4.664077396849968e-10,0.0,-466.40773968546375,-4.724579114282244e-10,6.050171743227613e-12,-0.07270721453625129,-0.07270721454227669
F-,-880.1282051,-879.9654153720044,-8.799654153711346e-10,0.0,-879.9654153720159,-8.913801956976612e-10,1.1414780326526554e-11,-0.16278972798409086,-0.16278972799557323
Cl-,-565.3631285,-565.5278460474943,-5.655278460469353e-10,0.0,-565.5278460475016,-5.728637890492371e-10,7.33594300230181e-12,0.16471754750159562,0.16471754749431966
Br-,-507.8212291,-507.5698517298643,-5.075698517293626e-10,0.0,-507.56985172987083,-5.14153972260298e-10,6.584120530935464e-12,-0.2513773701291484,-0.2513773701356854
I-,-425.1396648,-425.00947417836335,-4.2500947417794336e-10,0.0,-425.00947417836886,-4.3052263378591225e-10,5.513159607968928e-12,-0.1301906216311295,-0.1301906216366433

