term,candidate,rmse,mae,corr,fit_slope,fit_intercept,fit_rmse
assoc,mu,4.4795445806176675,4.438320037491583,0.9545564227770702,1.1364137317876626,-3.931970938429343,0.5659420333199751
assoc,neg_mu,12.354792191692704,11.862046262508418,-0.9545564227770702,-1.1364137317876626,-3.931970938429343,0.5659420333199751
assoc,neg_lnfug,43.42337545095429,43.28584911343741,-0.9545660995005809,-1.137262842086036,-66.64647138754586,0.5658831752591004
assoc,zcorr_share,47.03601529207697,46.99771222594582,0.916042402879926,1440.8163295518339,79449.83801492877,0.7616301849994045
assoc,lnfug,59.589304042078886,59.58621541343741,0.9545660995005809,1.137262842086036,-66.64647138754586,0.5658831752591004
born,mu,0.49423390537076933,0.3621893241875601,0.9999961669196173,0.999915834421428,-0.3625533021291027,0.3805629678118329
born,lnfug,0.49423390537076933,0.3621893241875601,0.9999961669196173,0.999915834421428,-0.3625533021291027,0.3805629678118329
born,zcorr_share,580.3134909260066,563.8012360142858,nan,nan,nan,nan
born,neg_mu,1160.3233774654045,1127.2873448608107,-0.9999961669196173,-0.999915834421428,-0.3625533021291027,0.3805629678118329
born,neg_lnfug,1160.3233774654045,1127.2873448608107,-0.9999961669196173,-0.999915834421428,-0.3625533021291027,0.3805629678118329
disp,mu,5.5865947811358705,5.537983052097947,0.9988850617591429,1.047922121144721,-3.9102636653440865,0.5284793879173282
disp,neg_lnfug,72.48560171162265,69.11153182739142,-0.9988876969199166,-1.048081452829678,-153.34174523135502,0.5278548348773029
disp,neg_mu,76.65275821964772,73.46984198790207,-0.9988850617591429,-1.047922121144721,-3.9102636653440865,0.5284793879173282
disp,zcorr_share,103.68339874829881,103.07746129529349,0.5009470724093728,1796.0273287296284,256040.540027562,9.688682613110409
disp,lnfug,148.12118574708367,148.11935686739142,0.9988876969199166,1.048081452829678,-153.34174523135502,0.5278548348773029
hc,mu,15.775938770725059,14.014193463592877,0.7750991241697835,0.20610494012443775,7.289747287142492,1.4999226945134043
hc,neg_mu,41.118436150685966,39.655219101021444,-0.7750991241697835,-0.20610494012443775,7.289747287142492,1.4999226945134043
hc,neg_lnfug,140.58759599739145,140.16691317150156,-0.7751295269930553,-0.2062010714138573,44.36668397074499,1.4998341528621775
hc,lnfug,165.9659600303173,165.80793880893012,0.7751295269930553,0.2062010714138573,44.36668397074499,1.4998341528621775
hc,zcorr_share,167.01845277030816,167.0016194538087,0.6818379009915793,411.2841462241058,-73945.17163108413,1.7365139930146472
