molality (kg/mol),miac_m
0.0102,0.718
0.0427,0.566
0.0721,0.511
0.0826,0.497
0.1092,0.472
0.1214,0.464
0.141,0.451
0.15,0.446
0.1685,0.436
0.1846,0.419
0.2088,0.408
0.4246,0.369
0.5517,0.362
0.8492,0.365
1.03,0.37
1.1315,0.375
1.3479,0.391
1.5131,0.408
