source,origin_file,x_H2O,x_Methanol,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,0.0126,0.847504265036,0.847,0.023625168,2,1.00059535423,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,0.0372,0.780369258037,0.779,0.023625168,2,1.0017577125,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,0.0656,0.734268923334,0.732,0.023625168,2,1.00309962204,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,0.0899,0.697952224618,0.695,0.023625168,2,1.00424780521,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,0.1036,0.68734827221,0.684,0.023625168,2,1.00489513481,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,0.1314,0.672147407692,0.668,0.023625168,2,1.00620869415,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,0.1572,0.655835467085,0.651,0.023625168,2,1.00742775282,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,0.1698,0.65319897337,0.648,0.023625168,2,1.00802310705,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,0.1894,0.645727496729,0.64,0.023625168,2,1.00894921364,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,0.2509,0.628362022877,0.621,0.023625168,2,1.0118551093,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,0.3759,0.599461465367,0.589,0.023625168,2,1.0177614013,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,0.8245,0.579738509334,0.558,0.023625168,2,1.03895790203,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,1.0926,0.608891290209,0.579,0.023625168,2,1.05162571711,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,1.3838,0.61898869369,0.581,0.023625168,2,1.06538501496,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,1.8882,0.654620068746,0.601,0.023625168,2,1.08921808444,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,2.3029,0.695225624832,0.627,0.023625168,2,1.10881279877,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,2.6978,0.72947435583,0.647,0.023625168,2,1.12747195646,composition-columns
MIAC,data/MIAC/water-methanol/water-methanol-NaBr.csv,0.6,0.4,2.9879,0.78170780607,0.685,0.023625168,2,1.14117927893,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,0.0126,0.847504265036,0.847,0.023625168,2,1.00059535423,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,0.0372,0.780369258037,0.779,0.023625168,2,1.0017577125,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,0.0656,0.734268923334,0.732,0.023625168,2,1.00309962204,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,0.0899,0.697952224618,0.695,0.023625168,2,1.00424780521,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,0.1036,0.68734827221,0.684,0.023625168,2,1.00489513481,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,0.1314,0.672147407692,0.668,0.023625168,2,1.00620869415,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,0.1572,0.655835467085,0.651,0.023625168,2,1.00742775282,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,0.1698,0.65319897337,0.648,0.023625168,2,1.00802310705,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,0.1894,0.645727496729,0.64,0.023625168,2,1.00894921364,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,0.2509,0.628362022877,0.621,0.023625168,2,1.0118551093,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,0.3759,0.599461465367,0.589,0.023625168,2,1.0177614013,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,0.8245,0.579738509334,0.558,0.023625168,2,1.03895790203,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,1.0926,0.608891290209,0.579,0.023625168,2,1.05162571711,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,1.3838,0.61898869369,0.581,0.023625168,2,1.06538501496,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,1.8882,0.654620068746,0.601,0.023625168,2,1.08921808444,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,2.3029,0.695225624832,0.627,0.023625168,2,1.10881279877,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,2.6978,0.72947435583,0.647,0.023625168,2,1.12747195646,composition-columns
MIAC_m,data/MIAC_m/water_methanol/water-methanol-NaBr.csv,0.6,0.4,2.9879,0.78170780607,0.685,0.023625168,2,1.14117927893,composition-columns
UNIFIED,,0.6,0.4,0.0126,0.847504265036,0.847,0.023625168,2,1.00059535423,unified
UNIFIED,,0.6,0.4,0.0372,0.780369258037,0.779,0.023625168,2,1.0017577125,unified
UNIFIED,,0.6,0.4,0.0656,0.734268923334,0.732,0.023625168,2,1.00309962204,unified
UNIFIED,,0.6,0.4,0.0899,0.697952224618,0.695,0.023625168,2,1.00424780521,unified
UNIFIED,,0.6,0.4,0.1036,0.68734827221,0.684,0.023625168,2,1.00489513481,unified
UNIFIED,,0.6,0.4,0.1314,0.672147407692,0.668,0.023625168,2,1.00620869415,unified
UNIFIED,,0.6,0.4,0.1572,0.655835467085,0.651,0.023625168,2,1.00742775282,unified
UNIFIED,,0.6,0.4,0.1698,0.65319897337,0.648,0.023625168,2,1.00802310705,unified
UNIFIED,,0.6,0.4,0.1894,0.645727496729,0.64,0.023625168,2,1.00894921364,unified
UNIFIED,,0.6,0.4,0.2509,0.628362022877,0.621,0.023625168,2,1.0118551093,unified
UNIFIED,,0.6,0.4,0.3759,0.599461465367,0.589,0.023625168,2,1.0177614013,unified
UNIFIED,,0.6,0.4,0.8245,0.579738509334,0.558,0.023625168,2,1.03895790203,unified
UNIFIED,,0.6,0.4,1.0926,0.608891290209,0.579,0.023625168,2,1.05162571711,unified
UNIFIED,,0.6,0.4,1.3838,0.61898869369,0.581,0.023625168,2,1.06538501496,unified
UNIFIED,,0.6,0.4,1.8882,0.654620068746,0.601,0.023625168,2,1.08921808444,unified
UNIFIED,,0.6,0.4,2.3029,0.695225624832,0.627,0.023625168,2,1.10881279877,unified
UNIFIED,,0.6,0.4,2.6978,0.72947435583,0.647,0.023625168,2,1.12747195646,unified
UNIFIED,,0.6,0.4,2.9879,0.78170780607,0.685,0.023625168,2,1.14117927893,unified
