m,phi,gamma,miac
0.001,0.988,0.965,0.96503476949
0.002,0.984,0.951,0.951068530125
0.005,0.976,0.927,0.927167001646
0.01,0.967,0.901,0.901324635346
0.02,0.957,0.869,0.869626211133
0.05,0.94,0.816,0.817470046848
0.1,0.927,0.768,0.770767147008
0.2,0.913,0.717,0.722166782304
0.3,0.906,0.687,0.694425898416
0.4,0.902,0.665,0.67458412896
0.5,0.9,0.649,0.66069191672
0.6,0.899,0.636,0.649749261696
0.7,0.898,0.626,0.641788591392
0.8,0.898,0.617,0.634784684416
0.9,0.898,0.61,0.62978077744
1.0,0.898,0.604,0.62576245824
1.2,0.9,0.594,0.619682583168
1.4,0.902,0.586,0.615559471424
1.6,0.905,0.58,0.61343635968
1.8,0.908,0.576,0.613356484608
2.0,0.912,0.573,0.61429102176
2.5,0.923,0.568,0.6191633952
3.0,0.936,0.568,0.62939607424
3.5,0.95,0.571,0.64300707416
4.0,0.965,0.576,0.65901441024
4.5,0.981,0.584,0.67868831168
4.803,0.99,0.589,0.690929265232
5.0,0.997,0.593,0.6998306104
