m,phi,gamma,miac
0.001,0.988,0.965,0.96503476949
0.002,0.984,0.952,0.952068602186
0.005,0.976,0.927,0.927167001646
0.01,0.968,0.902,0.902324995651
0.02,0.958,0.871,0.871627652355
0.05,0.943,0.82,0.82147725296
0.1,0.932,0.776,0.778795971456
0.2,0.922,0.731,0.736267667872
0.3,0.919,0.705,0.71262046344
0.4,0.918,0.688,0.697915610112
0.5,0.918,0.676,0.68817832928
0.6,0.919,0.666,0.680397811776
0.7,0.921,0.659,0.675620897328
0.8,0.923,0.654,0.672851188992
0.9,0.925,0.65,0.6710778776
1.0,0.928,0.646,0.66927574176
1.2,0.933,0.641,0.668714706752
1.4,0.939,0.639,0.671232938976
1.6,0.945,0.638,0.674779995648
1.8,0.951,0.637,0.678312640096
2.0,0.957,0.638,0.68397499456
2.5,0.972,0.643,0.7009191252
3.0,0.987,0.65,0.720259592
3.5,1.003,0.66,0.7432305936
4.0,1.018,0.671,0.76770602304
4.5,1.033,0.683,0.79373992616
