molality (kg/mol),miac_m,miac
0.16974,0.3461,0.351512714882
0.35659,0.2849,0.294260325751
0.49543,0.2651,0.277201003391
0.83622,0.2501,0.269369196077
1.30763,0.2705,0.303089785272
1.40716,0.2798,0.316076096234
1.49104,0.2891,0.328816113202
1.76563,0.3296,0.38321869704
2.03369,0.388,0.460701911994
2.39616,0.5092,0.621617406779
2.8135,0.747,0.940640803092
