source,origin_file,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC_m,data/MIAC_m/water/LiBr.csv,16,316.87428096,201,0.01801528,2,1.57648896,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,17,425.70515328,264,0.01801528,2,1.61251952,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,18,547.31862656,332,0.01801528,2,1.64855008,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,19,680.57057856,404,0.01801528,2,1.68458064,pure
MIAC_m,data/MIAC_m/water/LiBr.csv,20,836.2170432,486,0.01801528,2,1.7206112,pure
UNIFIED,,0.001,0.96503476949,0.965,0.01801528,2,1.00003603056,unified
UNIFIED,,0.002,0.952068602186,0.952,0.01801528,2,1.00007206112,unified
UNIFIED,,0.005,0.929167361951,0.929,0.01801528,2,1.0001801528,unified
UNIFIED,,0.01,0.905326076568,0.905,0.01801528,2,1.0003603056,unified
UNIFIED,,0.02,0.877631976022,0.877,0.01801528,2,1.0007206112,unified
UNIFIED,,0.05,0.833498871296,0.832,0.01801528,2,1.001801528,unified
UNIFIED,,0.1,0.799871635632,0.797,0.01801528,2,1.003603056,unified
UNIFIED,,0.2,0.772527087904,0.767,0.01801528,2,1.007206112,unified
UNIFIED,,0.3,0.76316092184,0.755,0.01801528,2,1.010809168,unified
UNIFIED,,0.4,0.762837992448,0.752,0.01801528,2,1.014412224,unified
UNIFIED,,0.5,0.76758352112,0.754,0.01801528,2,1.01801528,unified
UNIFIED,,0.6,0.775408317024,0.759,0.01801528,2,1.021618336,unified
UNIFIED,,0.7,0.786344807664,0.767,0.01801528,2,1.025221392,unified
UNIFIED,,0.8,0.800425420544,0.778,0.01801528,2,1.028824448,unified
UNIFIED,,0.9,0.814585300656,0.789,0.01801528,2,1.032427504,unified
UNIFIED,,1,0.83193253968,0.803,0.01801528,2,1.03603056,unified
UNIFIED,,1.2,0.870059384448,0.834,0.01801528,2,1.043236672,unified
UNIFIED,,1.4,0.914935664864,0.871,0.01801528,2,1.050442784,unified
UNIFIED,,1.6,0.965633442048,0.913,0.01801528,2,1.057648896,unified
UNIFIED,,1.8,1.02226080768,0.96,0.01801528,2,1.064855008,unified
UNIFIED,,2,1.08492585344,1.012,0.01801528,2,1.07206112,unified
