config_key,backend_key,backend_label,phase,phase_title,beta,species,mole_fraction,share_of_feed_pct,lnfug_bar
ascani2022_params_figiel2025_opts,current,Current least_squares solver,organic,Organic-rich phase,0.056644774517084315,NaCl_pm,,,-143.46820818435
ascani2022_params_figiel2025_opts,current,Current least_squares solver,organic,Organic-rich phase,0.056644774517084315,KCl_pm,,,-129.62819277236702
ascani2022_params_figiel2025_opts,current,Current least_squares solver,aqueous,Aqueous-rich phase,0.9433552254829157,H2O,0.9645391300291247,96.75977447901465,-3.483144753912919
ascani2022_params_figiel2025_opts,current,Current least_squares solver,aqueous,Aqueous-rich phase,0.9433552254829157,Butanol,0.02545330050093124,49.20768764829713,-5.304523842469631
ascani2022_params_figiel2025_opts,current,Current least_squares solver,aqueous,Aqueous-rich phase,0.9433552254829157,Na+,0.0018690422805822684,91.17028924113933,-157.07696160957417
ascani2022_params_figiel2025_opts,current,Current least_squares solver,aqueous,Aqueous-rich phase,0.9433552254829157,K+,0.0031347409748535373,84.94393515070554,-129.3967288788247
ascani2022_params_figiel2025_opts,current,Current least_squares solver,aqueous,Aqueous-rich phase,0.9433552254829157,Cl-,0.005003786214508341,87.16758259636501,-129.8594194218367
ascani2022_params_figiel2025_opts,current,Current least_squares solver,aqueous,Aqueous-rich phase,0.9433552254829157,NaCl_pm,,,-143.46819051570543
ascani2022_params_figiel2025_opts,current,Current least_squares solver,aqueous,Aqueous-rich phase,0.9433552254829157,KCl_pm,,,-129.6280741503307
ascani2022_params_figiel2025_opts,cyipopt,cyipopt IPOPT experiment,organic,Organic-rich phase,0.005104707443454464,H2O,0.9359815215832022,0.5080867495286345,-3.487152103461023
ascani2022_params_figiel2025_opts,cyipopt,cyipopt IPOPT experiment,organic,Organic-rich phase,0.005104707443454464,Butanol,0.052990080079530426,0.5543435849408545,-5.178501119677557
ascani2022_params_figiel2025_opts,cyipopt,cyipopt IPOPT experiment,organic,Organic-rich phase,0.005104707443454464,Na+,0.001953251248681397,0.515570328170354,-157.08857672801892
ascani2022_params_figiel2025_opts,cyipopt,cyipopt IPOPT experiment,organic,Organic-rich phase,0.005104707443454464,K+,0.003560948121322441,0.522146005706491,-129.41761293611526
ascani2022_params_figiel2025_opts,cyipopt,cyipopt IPOPT experiment,organic,Organic-rich phase,0.005104707443454464,Cl-,0.00551419896726345,0.5197976191930767,-129.89515926238275
ascani2022_params_figiel2025_opts,cyipopt,cyipopt IPOPT experiment,organic,Organic-rich phase,0.005104707443454464,NaCl_pm,,,-143.49186799520083
ascani2022_params_figiel2025_opts,cyipopt,cyipopt IPOPT experiment,organic,Organic-rich phase,0.005104707443454464,KCl_pm,,,-129.656386099249
ascani2022_params_figiel2025_opts,cyipopt,cyipopt IPOPT experiment,aqueous,Aqueous-rich phase,0.9948952925565455,H2O,0.9403957757609063,99.49191325047137,-3.4871339306789633
ascani2022_params_figiel2025_opts,cyipopt,cyipopt IPOPT experiment,aqueous,Aqueous-rich phase,0.9948952925565455,Butanol,0.04877472728324025,99.44565641505915,-5.178860083394994
ascani2022_params_figiel2025_opts,cyipopt,cyipopt IPOPT experiment,aqueous,Aqueous-rich phase,0.9948952925565455,Na+,0.0019338322177063075,99.48442967182964,-157.09014141153463
ascani2022_params_figiel2025_opts,cyipopt,cyipopt IPOPT experiment,aqueous,Aqueous-rich phase,0.9948952925565455,K+,0.003480916259187273,99.47785399429351,-129.41899805445226
ascani2022_params_figiel2025_opts,cyipopt,cyipopt IPOPT experiment,aqueous,Aqueous-rich phase,0.9948952925565455,Cl-,0.0054147484789600015,99.48020238080692,-129.893720753134
ascani2022_params_figiel2025_opts,cyipopt,cyipopt IPOPT experiment,aqueous,Aqueous-rich phase,0.9948952925565455,NaCl_pm,,,-143.4919310823343
ascani2022_params_figiel2025_opts,cyipopt,cyipopt IPOPT experiment,aqueous,Aqueous-rich phase,0.9948952925565455,KCl_pm,,,-129.65635940379315
