panel,salt,solvent,requested_pair,runtime_pair,k_value,rmse,mae,bias,max_abs,rmse_full,mae_full,bias_full,max_abs_full,delta_k_from_baseline
7a,LiBr,ethanol,Li-Br,Li-Br,0.3,0.898377915035037,0.4880889417366857,-0.4867286917080021,2.6722085110568727,3.5581333447585233,1.4849839828738516,-1.4837473919386845,11.45393439424551,-0.291
7a,LiBr,ethanol,Li-Br,Li-Br,0.32,0.8965958299581912,0.48695619890307845,-0.48559594887440616,2.667283662529045,3.5547768303093146,1.483038556962321,-1.4818019660271644,11.443862137554747,-0.27099999999999996
7a,LiBr,ethanol,Li-Br,Li-Br,0.33999999999999997,0.8948026006050033,0.48581818352068246,-0.48445793349202726,2.662324710176982,3.5513909315388315,1.4810799299148598,-1.4798433389797188,11.433697393856633,-0.251
7a,LiBr,ethanol,Li-Br,Li-Br,0.36,0.892998183911799,0.4846748811521374,-0.4833146311234907,2.6573315098815824,3.547975464006827,1.479108033295068,-1.4778714423599346,11.423439554724371,-0.23099999999999998
7a,LiBr,ethanol,Li-Br,Li-Br,0.38,0.8911825369532896,0.4835262774459702,-0.482166027417332,2.6523039178937378,3.5445302430506995,1.4771227986557507,-1.4758862077206252,11.413088010753556,-0.21099999999999997
7a,LiBr,ethanol,Li-Br,Li-Br,0.4,0.8893556169581591,0.4823723581449061,-0.48101210811627926,2.6472417908806527,3.5410550838541974,1.4751241575666207,-1.4738875666315054,11.402642151783768,-0.19099999999999995
7a,LiBr,ethanol,Li-Br,Li-Br,0.42,0.8875173812867976,0.48121310907399534,-0.4798528590453799,2.642144985859972,3.537549801413012,1.4731120415943075,-1.4718754506592027,11.39210136679743,-0.17099999999999999
7a,LiBr,ethanol,Li-Br,Li-Br,0.44,0.8856677874576405,0.48004851615424265,-0.4786882661256386,2.6370133602727206,3.534014210581329,1.4710863823272442,-1.4698497913921498,11.381465044057261,-0.15099999999999997
7a,LiBr,ethanol,Li-Br,Li-Br,0.45999999999999996,0.8838067931415974,0.47887856539736917,-0.4775183153687822,2.6318467719779113,3.530448126071295,1.4690471113710422,-1.467810520435963,11.370732571107771,-0.131
7a,LiBr,ethanol,Li-Br,Li-Br,0.48,0.8819343561680257,0.4777032429108477,-0.47634299288227205,2.6266450792579468,3.5268513624686997,1.466994160357418,-1.465757569422349,11.35990333482312,-0.11099999999999999
7a,LiBr,ethanol,Li-Br,Li-Br,0.5,0.8800504345387461,0.47652253490119756,-0.4751622848726333,2.6214081408734025,3.5232237342575563,1.464927460953736,-1.4636908700186775,11.348976721479122,-0.09099999999999997
7a,LiBr,ethanol,Li-Br,Li-Br,0.52,0.8781549864065464,0.4753364276651174,-0.4739761776365645,2.616135815988632,3.519565055822969,1.4628469448572539,-1.4616103539222058,11.337952116778617,-0.07099999999999995
7a,LiBr,ethanol,Li-Br,Li-Br,0.54,0.8762479701116077,0.47414490760611266,-0.4727846575775712,2.6108279642890175,3.515875141475675,1.460752543815184,-1.4595159528801462,11.326828905905899,-0.050999999999999934
7a,LiBr,ethanol,Li-Br,Li-Br,0.56,0.8743293441653832,0.47294796122678606,-0.47158771119825305,2.605484445923751,3.5121538054701404,1.4586441896243405,-1.4574075986893105,11.315606473599884,-0.030999999999999917
7a,LiBr,ethanol,Li-Br,Li-Br,0.5800000000000001,0.8723990672595819,0.4717455751310693,-0.4703853251025505,2.6001051215454183,3.508400862004471,1.4565218141323952,-1.455285223197378,11.304284204145656,-0.010999999999999899
