panel,salt,solvent,base_solvent_dielc,best_solvent_dielc,baseline_rmse,best_rmse,baseline_bias,best_bias,rmse_improvement,scan_csv,scan_plot
7a,LiBr,ethanol,24.88,32.0,3.506323203093568,3.2307625140091707,-1.4541119154265416,-1.2006711290534822,0.2755606890843971,figure_7a_relperm_scan.csv,figure_7a_relperm_scan.png
7b,NaBr,ethanol,24.88,25.0,0.009636414564439975,0.009939756424804951,0.00037187107236833557,0.0027861619586807183,-0.0003033418603649758,figure_7b_relperm_scan.csv,figure_7b_relperm_scan.png
7c,LiCl,methanol,33.05,35.75,0.07947814022429085,0.044233472079521136,-0.04800998367664217,0.012447462333692129,0.03524466814476972,figure_7c_relperm_scan.csv,figure_7c_relperm_scan.png
7d,NaBr,methanol,33.05,37.0,0.06343111717377166,0.01991324484649508,-0.05730731305711397,0.003232540187717801,0.04351787232727658,figure_7d_relperm_scan.csv,figure_7d_relperm_scan.png
