panel,salt,solvent,requested_pair,runtime_pair,k_value,rmse,mae,bias,max_abs,rmse_full,mae_full,bias_full,max_abs_full,delta_k_from_baseline
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.5,0.8035364755882111,0.4308689893308994,-0.42950873930296607,2.4047950471235726,3.363718169561154,1.379240859761589,-1.3780042688271044,10.862959564068486,-0.5
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.48,0.8062764302189408,0.4324358281946898,-0.43107557816711745,2.4126662007309685,3.3698169396706237,1.3823694216387916,-1.3811328307046349,10.88170535607981,-0.48
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.46,0.8090139992682248,0.43400615409255083,-0.4326459040661666,2.420522475949483,3.3758808836521292,1.385490384145388,-1.3842537932123113,10.900332684673758,-0.46
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.44,0.811749227784861,0.43557998724412983,-0.4342197372173192,2.428363997089858,3.381910353352984,1.3886038703211838,-1.3873672793877196,10.918842701091723,-0.44
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.42,0.8144821536513409,0.43715734392071903,-0.4357970938937436,2.4361908673883335,3.3879056821003064,1.3917099943727467,-1.3904734034391326,10.937236498893023,-0.42
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.4,0.8172128075785288,0.43873823643218435,-0.43737798640498154,2.4440031690337976,3.393867184865086,1.394808861714408,-1.3935722707805873,10.955515114536645,-0.4
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.38,0.8199412130801665,0.4403226731042994,-0.4389624230762951,2.4518009631269333,3.3997951584334194,1.397900569004159,-1.3966639780696097,10.973679528002755,-0.38
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.36,0.8226673864872989,0.4419106582696683,-0.44055040824158437,2.4595842897640754,3.4056898815276777,1.4009852041737099,-1.3997486132390882,10.991730663214126,-0.36
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.33999999999999997,0.825391336919495,0.4435021922499395,-0.44214194222076414,2.467353167982637,3.4115516149856284,1.404062846471542,-1.4028262555359279,11.009669388687566,-0.33999999999999997
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.32,0.8281130663045286,0.4450972713411976,-0.4437370213151401,2.475107595872876,3.4173806019207906,1.407133566499766,-1.4058969755669863,11.027496518085448,-0.32
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.3,0.8308325693642805,0.44669588781342673,-0.4453356377856412,2.4828475505564436,3.4231770678726186,1.41019742626294,-1.4089608353285896,11.045212810758073,-0.3
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.28,0.8335498336183447,0.44829802988441775,-0.4469377798565498,2.4905729882463166,3.4289412209885604,1.4132544792023507,-1.4120178882679253,11.06281897238168,-0.28
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.26,0.8362648394008887,0.449903681724315,-0.44854343169699284,2.498283844333275,3.4346732521787993,1.416304770248791,-1.4150681793148616,11.08031565549355,-0.26
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.24,0.8389775598486168,0.45151282344188565,-0.4501525734149984,2.5059800333824422,3.440373335304263,1.4193483358710335,-1.4181117449374996,11.097703460162512,-0.24
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.21999999999999997,0.8416879609242811,0.45312543107508835,-0.4517651810477036,2.513661449252746,3.4460416273450907,1.4223852041197373,-1.4211486131857514,11.114982934566228,-0.21999999999999997
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.2,0.8443960014295275,0.45474147659891706,-0.45338122657106916,2.5213279651571656,3.4516782685821834,1.425415394691859,-1.4241788037574519,11.132154575621279,-0.2
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.18,0.8471016330193065,0.45636092791025273,-0.455000677881535,2.5289794337583773,3.4572833827956972,1.4284389189793207,-1.4272023280441228,11.149218829670001,-0.18
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.15999999999999998,0.8498048002233412,0.45798374883310194,-0.4566234988058991,2.536615687260779,3.462857077446502,1.4314557801304604,-1.4302191891966396,11.166176093104045,-0.15999999999999998
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.14,0.8525054404700572,0.45960989912192457,-0.4582496490936644,2.544236537526652,3.4683994438716814,1.4344659731139346,-1.4332293821791529,11.183026713034035,-0.14
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.12,0.8552034841030748,0.46123933445430776,-0.4598790844269258,2.551841776152491,3.4739105574995195,1.4374694847795086,-1.436232893845525,11.199770988031517,-0.12
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.09999999999999998,0.8578988544374364,0.4628720064498393,-0.46151175642188036,2.5594311746878056,3.4793904780534457,1.440466293936491,-1.4392297030019827,11.216409168803008,-0.09999999999999998
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.08000000000000002,0.8605914677660533,0.464507862662102,-0.46314761263521176,2.5670044846819806,3.4848392497527785,1.443456371410196,-1.4422197804766592,11.232941458891135,-0.08000000000000002
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.06,0.8632812334104456,0.46614684659803923,-0.4647865965697222,2.574561437872463,3.4902569015636,1.4464396801357717,-1.4452030892009382,11.249368015513099,-0.06
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.03999999999999998,0.8659680537690586,0.46778889772337795,-0.46642864769630865,2.582101746371064,3.4956434474123905,1.4494161752279704,-1.448179584294271,11.265688950273894,-0.03999999999999998
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,-0.020000000000000018,0.8686518243519901,0.46943395147539285,-0.46807370144823557,2.589625102804679,3.500998886404294,1.452385804059965,-1.4511492131261858,11.28190432990569,-0.020000000000000018
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,0.0,0.871332433834692,0.4710819392806268,-0.4697216892521137,2.5971311805045723,3.506323203093568,1.4553485063615534,-1.4541119154265416,11.29801417717082,0.0
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,0.020000000000000018,0.8740097641157353,0.47273278856583695,-0.4713725385388388,2.604619633719463,3.5116163677215013,1.4583042143008058,-1.4570676233671713,11.314018471650495,0.020000000000000018
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,0.040000000000000036,0.8766836903799982,0.47438642278762966,-0.47302617275961395,2.6120900978492934,3.516878336470791,1.461252852587431,-1.4600162616528713,11.329917150585446,0.040000000000000036
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,0.06000000000000005,0.8793540811467715,0.4760427614394874,-0.47468251141104256,2.619542189609751,3.522109051730787,1.4641943385600078,-1.462957747625058,11.345710109765212,0.06000000000000005
7a,LiBr,ethanol,Li-H2O (requested),Li-Ethanol,0.07999999999999996,0.8820207983570172,0.4777017200903444,-0.47634147006280614,2.626975507339003,3.527308442375831,1.467128582303203,-1.4658919913690773,11.361397204431787,0.07999999999999996
