entry_type,name,parameter,set_key,value
component,Br-,e,2008,60.2216
component,Br-,s,2008,3.4573
component,Cl-,e,2008,47.2878
component,Cl-,s,2008,3.0575
component,H2O,e,salt_2008,353.9449
component,H2O,e_assoc,salt_2008,2425.6714
component,H2O,m,salt_2008,1.2047
component,H2O,s,salt_2008,"{""type"": ""water_sigma_2008""}"
component,H2O,vol_a,salt_2008,0.04509
component,I-,e,2008,80.4347
component,I-,s,2008,3.9319
component,K+,e,2008,271.0518
component,K+,s,2008,2.9698
component,Li+,e,2008,2697.2795
component,Li+,s,2008,1.8177
component,Na+,e,2008,646.0504
component,Na+,s,2008,2.4122
