component,m,s,e,e_assoc,vol_a,assoc_scheme,dipm,dip_num,z,dielc,d_born,f_solv,MW
H2O,m_1=1.09528,sigma_1=2.88980,u_1=365.956,epsilon^A_i B_j=2515.6706,kappa^A_i B_j=0.0348679836,2B,,,,,,,0.01801528
Methanol,,,,,,,,,,,,,0.03204
Ethanol,,,,,,,,,,,,,0.046068
Li+,,1.8059,1110.9261,,,,,,,8.0,,,0.00694
Na+,,1.6262,119.806,,,,,,,8.0,,,0.02298
K+,,2.7602,8.8773,,,,,,,8.0,,,0.0391
Cl-,,3.5991,359.6604,,,,,,,8.0,,,0.03545
Br-,,3.8225,524.0636,,,,,,,8.0,,,0.0799
I-,,4.1766,413.0494,,,,,,,8.0,,,0.1269
