molality,miac,miac_m
0.001,0.96503476949,0.965
0.002,0.952068602186,0.952
0.005,0.928167181798,0.928
0.01,0.903325355957,0.903
0.02,0.872628372966,0.872
0.05,0.823480856016,0.822
0.1,0.781806780624,0.779
0.2,0.739289286208,0.734
0.3,0.716663700112,0.709
0.4,0.702987671232,0.693
0.5,0.69326840568,0.681
0.6,0.687549140128,0.673
0.7,0.683822668464,0.667
0.8,0.681081784576,0.662
0.9,0.680369725136,0.659
1,0.68067207792,0.657
1.2,0.68332002016,0.655
1.4,0.689090466304,0.656
1.6,0.695932973568,0.658
1.8,0.704934015296,0.662
2,0.71613682816,0.668
2.5,0.7499725632,0.688
3,0.79117745952,0.714
3.5,0.84007579216,0.746
4,0.89584771392,0.783
4.5,0.95992559152,0.826
5,1.0314535472,0.874
5.5,1.11189997824,0.928
6,1.19915679296,0.986
6.144,1.22625724768,1.004
