figure_id,panel_id,series_id,series_label,source_type,dataset,parameter_set,salt,ion,solvent_system,composition,composition_basis,target_w_org,x_name,x_value,x_units,y_name,y_value,y_units,curve_points,user_options,source_file,category,display_order
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.010200000000000001,mol/kg,miac_m,0.71799999999999997,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,0
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.042700000000000002,mol/kg,miac_m,0.56599999999999995,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,1
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.072099999999999997,mol/kg,miac_m,0.51100000000000001,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,2
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.082600000000000007,mol/kg,miac_m,0.497,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,3
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.10920000000000001,mol/kg,miac_m,0.47199999999999998,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,4
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.12139999999999999,mol/kg,miac_m,0.46400000000000002,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,5
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.14099999999999999,mol/kg,miac_m,0.45100000000000001,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,6
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.14999999999999999,mol/kg,miac_m,0.44600000000000001,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,7
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.16850000000000001,mol/kg,miac_m,0.436,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,8
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.18459999999999999,mol/kg,miac_m,0.41899999999999998,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,9
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.20880000000000001,mol/kg,miac_m,0.40799999999999997,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,10
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.42459999999999998,mol/kg,miac_m,0.36899999999999999,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,11
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.55169999999999997,mol/kg,miac_m,0.36199999999999999,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,12
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.84919999999999995,mol/kg,miac_m,0.36499999999999999,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,13
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,1.03,mol/kg,miac_m,0.37,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,14
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,1.1315,mol/kg,miac_m,0.375,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,15
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,1.3479000000000001,mol/kg,miac_m,0.39100000000000001,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,16
figure_7,main,data_NaBr_methanol,Literature,literature,,,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,1.5130999999999999,mol/kg,miac_m,0.40799999999999997,-,,{},analyses/2025_figiel/data/input/figure_7/methanol/methanol-NaBr.csv,NaBr,17
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0,mol/kg,miac_m,1.0000175107036819,-,500,{},,NaBr,18
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.0030322645290581161,mol/kg,miac_m,0.82653198961167218,-,500,{},,NaBr,19
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.0060645290581162322,mol/kg,miac_m,0.771874411656985,-,500,{},,NaBr,20
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.0090967935871743479,mol/kg,miac_m,0.73510120328606166,-,500,{},,NaBr,21
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.012129058116232464,mol/kg,miac_m,0.70710252173523036,-,500,{},,NaBr,22
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.015161322645290581,mol/kg,miac_m,0.68445688548164574,-,500,{},,NaBr,23
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.018193587174348696,mol/kg,miac_m,0.66545746003183404,-,500,{},,NaBr,24
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.021225851703406812,mol/kg,miac_m,0.64911616830116003,-,500,{},,NaBr,25
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.024258116232464929,mol/kg,miac_m,0.63480475416062254,-,500,{},,NaBr,26
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.027290380761523046,mol/kg,miac_m,0.62209687703465544,-,500,{},,NaBr,27
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.030322645290581162,mol/kg,miac_m,0.61068897692119983,-,500,{},,NaBr,28
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.033354909819639275,mol/kg,miac_m,0.60035676419446637,-,500,{},,NaBr,29
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.036387174348697392,mol/kg,miac_m,0.5909295621579056,-,500,{},,NaBr,30
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.039419438877755508,mol/kg,miac_m,0.58227435720060527,-,500,{},,NaBr,31
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.042451703406813625,mol/kg,miac_m,0.57428535217530496,-,500,{},,NaBr,32
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.045483967935871741,mol/kg,miac_m,0.56687702269912976,-,500,{},,NaBr,33
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.048516232464929858,mol/kg,miac_m,0.55997916817247739,-,500,{},,NaBr,34
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.051548496993987974,mol/kg,miac_m,0.55353347837442246,-,500,{},,NaBr,35
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.054580761523046091,mol/kg,miac_m,0.5474909677345482,-,500,{},,NaBr,36
figure_7,main,model_default,Figiel 2025,model,2025_Figiel,2025_Figiel,NaBr,,methanol,"{""methanol"":1.0}",mole_fraction,,molality,0.057613026052104208,mol/kg,miac_m,0.54181008131972797,-,500,{},,NaBr,37
