component,m,s,e,e_assoc,vol_a,assoc_scheme,dipm,dip_num,z,dielc,d_born,f_solv,MW
H2O,1.2047,2.7927+10.11 exp (-0.01775 T)-1.417 exp (0.01146 T),353.95,2425.7,0.0451,2B,,,,,,,0.01801528
Methanol,,,,,,,,,,,,,0.03204
Ethanol,,,,,,,,,,,,,0.046068
Li+,,2.8449,360,,,,,,,,,,0.00694
Na+,,2.8232,230,,,,,,,,,,0.02298
K+,,3.3417,200,,,,,,,,,,0.0391
Cl-,,2.756,170,,,,,,,,,,0.03545
Br-,,3.0707,190,,,,,,,,,,0.0799
I-,,3.6672,200,,,,,,,,,,0.1269
