source,origin_file,x_H2O,x_Methanol,x_Ethanol,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.2,0.2,0.05,0.6862,0.684391101757,0.026430768,2,1.0026430768,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.2,0.2,0.07,0.6484,0.646009565945,0.026430768,2,1.00370030752,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.2,0.2,0.09,0.6192,0.616268081038,0.026430768,2,1.00475753824,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.2,0.2,0.1,0.6068,0.603609228902,0.026430768,2,1.0052861536,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.2,0.2,0.2,0.5254,0.519903421316,0.026430768,2,1.0105723072,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.2,0.2,0.3,0.4807,0.473195842284,0.026430768,2,1.0158584608,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.2,0.2,0.4,0.4519,0.442542607215,0.026430768,2,1.0211446144,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.2,0.2,0.5,0.4319,0.420778501059,0.026430768,2,1.026430768,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.2,0.2,0.6,0.4174,0.40456833775,0.026430768,2,1.0317169216,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.2,0.2,0.7,0.4065,0.391994980267,0.026430768,2,1.0370030752,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.2,0.2,0.8,0.3981,0.381947725257,0.026430768,2,1.0422892288,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.2,0.2,0.9,0.3916,0.373815580797,0.026430768,2,1.0475753824,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.2,0.2,1,0.3865,0.367094804763,0.026430768,2,1.052861536,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.2,0.2,1.1,0.3824,0.36138622591,0.026430768,2,1.0581476896,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.2,0.2,1.2,0.379,0.356392644849,0.026430768,2,1.0634338432,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.2,0.2,1.3,0.3762,0.352009882033,0.026430768,2,1.0687199968,composition-columns
