source,origin_file,x_H2O,x_Methanol,x_Ethanol,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,0.05,0.7453,0.743647390619,0.022223024,2,1.0022223024,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,0.07,0.713,0.710788577972,0.022223024,2,1.00311122336,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,0.09,0.6877,0.684960060903,0.022223024,2,1.00400014432,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,0.1,0.6769,0.67390475967,0.022223024,2,1.0044446048,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,0.2,0.6049,0.599570293987,0.022223024,2,1.0088892096,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,0.3,0.5647,0.557269472286,0.022223024,2,1.0133338144,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,0.4,0.5388,0.529388312658,0.022223024,2,1.0177784192,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,0.5,0.521,0.509673513282,0.022223024,2,1.022223024,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,0.6,0.5083,0.495096938621,0.022223024,2,1.0266676288,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,0.7,0.4992,0.484137403992,0.022223024,2,1.0311122336,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,0.8,0.4925,0.475589539596,0.022223024,2,1.0355568384,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,0.9,0.4878,0.469037810658,0.022223024,2,1.0400014432,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,1,0.4845,0.463882266516,0.022223024,2,1.044446048,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,1.1,0.4823,0.459819141979,0.022223024,2,1.0488906528,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,1.2,0.481,0.456644735405,0.022223024,2,1.0533352576,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,1.3,0.4803,0.4540642312,0.022223024,2,1.0577798624,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,1.4,0.4802,0.452070174269,0.022223024,2,1.0622244672,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,1.5,0.4804,0.450373984407,0.022223024,2,1.066669072,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,1.6,0.481,0.449065314372,0.022223024,2,1.0711136768,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.8,0.1,0.1,1.7,0.4818,0.447953410096,0.022223024,2,1.0755582816,composition-columns
