source,origin_file,x_H2O,x_Methanol,x_Ethanol,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.7,0.15,0.15,0.05,0.7413,0.739501023551,0.024326896,2,1.0024326896,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.7,0.15,0.15,0.07,0.7109,0.708487059259,0.024326896,2,1.00340576544,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.7,0.15,0.15,0.09,0.6871,0.684104415346,0.024326896,2,1.00437884128,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.7,0.15,0.15,0.1,0.677,0.673722086573,0.024326896,2,1.0048653792,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.7,0.15,0.15,0.2,0.6079,0.602041677886,0.024326896,2,1.0097307584,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.7,0.15,0.15,0.3,0.567,0.558843049946,0.024326896,2,1.0145961376,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.7,0.15,0.15,0.4,0.5385,0.528220036878,0.024326896,2,1.0194615168,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.7,0.15,0.15,0.5,0.5173,0.505014563242,0.024326896,2,1.024326896,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.7,0.15,0.15,0.6,0.5007,0.486498016032,0.024326896,2,1.0291922752,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.7,0.15,0.15,0.7,0.4875,0.471443732296,0.024326896,2,1.0340576544,composition-columns
