source,origin_file,x_H2O,x_Methanol,x_Ethanol,molality,miac,miac_m,M_solvent_mix,sum_nu,conversion_factor,mw_mode
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.15,0.25,0.05,0.6855,0.683645122568,0.027132168,2,1.0027132168,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.15,0.25,0.07,0.6479,0.645448262503,0.027132168,2,1.00379850352,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.15,0.25,0.09,0.6188,0.615792598119,0.027132168,2,1.00488379024,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.15,0.25,0.1,0.6064,0.603127170457,0.027132168,2,1.0054264336,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.15,0.25,0.2,0.5248,0.519165565068,0.027132168,2,1.0108528672,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.15,0.25,0.3,0.4794,0.471720716562,0.027132168,2,1.0162793008,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.15,0.25,0.4,0.4497,0.440146301287,0.027132168,2,1.0217057344,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.15,0.25,0.5,0.4286,0.417278334135,0.027132168,2,1.027132168,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.15,0.25,0.6,0.4129,0.399880451686,0.027132168,2,1.0325586016,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.15,0.25,0.7,0.4009,0.386229074991,0.027132168,2,1.0379850352,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.15,0.25,0.8,0.3914,0.375115677471,0.027132168,2,1.0434114688,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.15,0.25,0.9,0.3839,0.366024148366,0.027132168,2,1.0488379024,composition-columns
MIAC,data/MIAC/water-methanol-ethanol/water-methanol-ethanol-NaCl.csv,0.6,0.15,0.25,1,0.3777,0.358259297126,0.027132168,2,1.054264336,composition-columns
