m,phi,gamma
0.001,0.988,0.965
0.002,0.984,0.951
0.005,0.976,0.927
0.01,0.967,0.901
0.02,0.957,0.869
0.05,0.94,0.816
0.1,0.927,0.768
0.2,0.913,0.717
0.3,0.906,0.687
0.4,0.902,0.665
0.5,0.9,0.649
0.6,0.899,0.636
0.7,0.898,0.626
0.8,0.898,0.617
0.9,0.898,0.61
1.0,0.898,0.604
1.2,0.9,0.594
1.4,0.902,0.586
1.6,0.905,0.58
1.8,0.908,0.576
2.0,0.912,0.573
2.5,0.923,0.568
3.0,0.936,0.568
3.5,0.95,0.571
4.0,0.965,0.576
4.5,0.981,0.584
4.803,0.99,0.589
5.0,0.997,0.593
