m,phi,gamma
0.001,0.988,0.965
0.002,0.984,0.952
0.005,0.976,0.928
0.01,0.968,0.903
0.02,0.959,0.872
0.05,944.0,0.822
0.1,0.933,0.779
0.2,0.924,0.734
0.3,0.921,0.709
0.4,0.92,0.693
0.5,0.921,0.681
0.6,0.923,0.673
0.7,0.926,0.667
0.8,0.929,0.662
0.9,0.932,0.659
1.0,0.936,0.657
1.2,0.944,0.655
1.4,0.953,0.656
1.6,0.962,0.658
1.8,0.973,0.662
2.0,0.984,0.668
2.5,1.013,0.688
3.0,1.045,0.714
3.5,1.08,0.746
4.0,1.116,0.783
4.5,1.153,0.826
5.0,1.191,0.874
5.5,1.231,0.928
6.0,1.27,0.986
6.144,1.281,1.004
