m,phi,gamma
0.001,0.989,0.966
0.002,0.985,0.953
0.005,0.978,0.93
0.01,0.971,0.908
0.02,0.964,0.882
0.05,0.956,0.843
0.1,0.956,0.817
0.2,0.965,0.802
0.3,0.978,0.803
0.4,0.993,0.811
0.5,1.008,0.824
0.6,1.023,0.838
0.7,1.037,0.855
0.8,1.052,0.872
0.9,1.067,0.892
1.0,1.082,0.912
1.2,1.112,0.957
1.4,1.143,1.007
1.6,1.176,1.063
1.8,1.211,1.126
2.0,1.249,1.197
2.5,1.353,1.42
3.0,1.471,1.722
