figure,group,subgroup,item,paper,model,delta
figure_2,advanced,water,Li+,-555.7163531,-555.025953926403,0.6903991735970294
figure_2,advanced,water,Na+,-541.8234443,-541.7102197576753,0.11322454232470136
figure_2,advanced,water,K+,-445.7308249,-446.36864824111376,-0.6378233411137444
figure_2,advanced,water,F-,-869.4645441,-869.897968595864,-0.43342449586396015
figure_2,advanced,water,Cl-,-558.0318379,-557.4366754086412,0.5951624913587921
figure_2,advanced,water,Br-,-502.4602026,-502.14932826693877,0.3108743330612356
figure_2,advanced,water,I-,-423.7337192,-422.36572134399063,1.3679978560093673
figure_2,revised,water,Li+,-6.946454414,-7.170228487083811,-0.2237740730838116
figure_2,revised,water,Na+,11.57742402,10.234397066419858,-1.343026953580143
figure_2,revised,water,K+,16.20839363,20.039917877280267,3.8315242472802673
figure_2,revised,water,F-,10.41968162,10.067447679449534,-0.352233940550466
figure_2,revised,water,Cl-,8.104196816,8.091177259296886,-0.013019556703113722
figure_2,revised,water,Br-,6.946454414,5.420532154871555,-1.5259222591284445
figure_2,revised,water,I-,3.473227207,2.64376792353122,-0.82945928346878
figure_3,hc,water,Li+,13.46153846,-155.05411878683853,-168.51565724683854
figure_3,hc,water,Na+,13.46153846,-155.4223395697115,-168.88387802971152
figure_3,hc,water,K+,14.1025641,-145.6025270486742,-159.7050911486742
figure_3,hc,water,F-,7.051282051,-169.05814662595517,-176.10942867695516
figure_3,hc,water,Cl-,14.1025641,-156.53342179938036,-170.63598589938036
figure_3,hc,water,Br-,13.46153846,-151.01779685439018,-164.4793353143902
figure_3,hc,water,I-,14.1025641,-138.22363124656087,-152.32619534656087
figure_3,disp,water,Li+,-52.82654494,96.01814645875261,148.84469139875262
figure_3,disp,water,Na+,-33.72542135,113.84698932218028,147.57241067218027
figure_3,disp,water,K+,-32.04002809,115.52296532018543,147.56299341018544
figure_3,disp,water,F-,-21.92766854,124.94583479772466,146.87350333772466
figure_3,disp,water,Cl-,-36.53441011,112.49518356579529,149.0295936757953
figure_3,disp,water,Br-,-43.27598315,105.30606780668502,148.582050956685
figure_3,disp,water,I-,-56.19733146,92.17292316041664,148.37025462041663
figure_3,assoc,water,Li+,-7.692307692,51.86575589090081,59.55806358290081
figure_3,assoc,water,Na+,-7.051282051,51.93185875863027,58.98314080963027
figure_3,assoc,water,K+,-8.974358974,50.11866859557106,59.093027569571056
figure_3,assoc,water,F-,-5.769230769,54.179774027146344,59.94900479614634
figure_3,assoc,water,Cl-,-7.051282051,52.1294242951903,59.1807063461903
figure_3,assoc,water,Br-,-8.333333333,51.13226793337546,59.46560126637546
figure_3,assoc,water,I-,-12.17948718,48.694476343247594,60.873963523247596
figure_3,dh,water,Li+,0.0,-1.5422750084989562e-05,-1.5422750084989562e-05
figure_3,dh,water,Na+,0.0,-1.5422750583621588e-05,-1.5422750583621588e-05
figure_3,dh,water,K+,0.0,-1.542273834534361e-05,-1.542273834534361e-05
figure_3,dh,water,F-,0.0,-1.542277536953365e-05,-1.542277536953365e-05
figure_3,dh,water,Cl-,0.0,-1.5422752164516007e-05,-1.5422752164516007e-05
figure_3,dh,water,Br-,0.0,-1.542274474522489e-05,-1.542274474522489e-05
figure_3,dh,water,I-,0.0,-1.542273067154265e-05,-1.542273067154265e-05
figure_3,born,water,Li+,-548.603352,-547.8557220664677,0.7476299335322665
figure_3,born,water,Na+,-553.0726257,-552.0667128460238,1.005912853976156
figure_3,born,water,K+,-466.4804469,-466.4077396854577,0.07270721454227669
figure_3,born,water,F-,-880.1282051,-879.9654153720044,0.16278972799557323
figure_3,born,water,Cl-,-565.3631285,-565.5278460474943,-0.16471754749431966
figure_3,born,water,Br-,-507.8212291,-507.5698517298643,0.2513773701356854
figure_3,born,water,I-,-425.1396648,-425.00947417836335,0.1301906216366433
figure_4,advanced,methanol,Li+,23.88254486,23.78308433118434,-0.09946052881565848
figure_4,advanced,methanol,Na+,10.4730832,10.243388183620027,-0.22969501637997247
figure_4,advanced,methanol,K+,-0.538336052,-0.6521363258499946,-0.11380027384999458
figure_4,advanced,methanol,F-,17.42251223,17.196070626674214,-0.22644160332578522
figure_4,advanced,methanol,Cl-,15.1223491,14.915628644320236,-0.20672045567976305
figure_4,advanced,methanol,Br-,15.56280587,15.482459190780219,-0.08034667921978134
figure_4,advanced,methanol,I-,15.56280587,15.515562320439699,-0.04724354956030119
figure_4,revised,methanol,Li+,14.045677,14.09818244122296,0.052505441222960414
figure_4,revised,methanol,Na+,0.538336052,0.6061445231576741,0.06780847115767408
figure_4,revised,methanol,K+,-8.955954323,-8.89803795743557,0.057916365564430805
figure_4,revised,methanol,F-,1.566068515,1.6401935990840393,0.07412508408403928
figure_4,revised,methanol,Cl-,4.893964111,4.918318761421144,0.024354650421144264
figure_4,revised,methanol,Br-,6.460032626,6.509718616420997,0.04968599042099697
figure_4,revised,methanol,I-,7.977161501,8.00230339638642,0.025141895386419755
figure_4,advanced,ethanol,Li+,28.22535211,28.216629804069385,-0.008722305930614738
figure_4,advanced,ethanol,Na+,15.09859155,14.92426640571523,-0.17432514428477042
figure_4,advanced,ethanol,K+,3.267605634,3.2531746762844023,-0.01443095771559788
figure_4,advanced,ethanol,F-,25.12676056,25.10173307107334,-0.025027488926660624
figure_4,advanced,ethanol,Cl-,19.77464789,19.831024498638612,0.056376608638611714
figure_4,advanced,ethanol,Br-,19.77464789,19.804060099648837,0.02941220964883584
figure_4,advanced,ethanol,I-,19.04225352,19.026281322919374,-0.01597219708062525
figure_4,revised,ethanol,Li+,12.95774648,13.017765570801103,0.06001909080110224
