component,m,s,e,e_assoc,vol_a,assoc_scheme,dipm,dip_num,z,dielc,d_born,f_solv,MW
H2O,,^a All solvents have a 2B association scheme. ^b sigma=2.7927+(10.11 * e^-0.01775 T / K-1.417 * e^-0.01146 T / K ),,,,,,,,,,,0.01801528
Methanol,,,,,,,,,,,,,0.03204
Ethanol,,,,,,,,,,,,,0.046068
Li+,,2.8449,360,,,,,,,8.0,2.784,,0.00694
Na+,,2.8232,230,,,,,,,8.0,3.445,,0.02298
K+,,3.3417,200,,,,,,,8.0,4.15,,0.0391
Cl-,,2.756,170,,,,,,,8.0,4.1,,0.03545
Br-,,3.0707,190,,,,,,,8.0,4.48,,0.0799
I-,,3.6672,200,,,,,,,8.0,4.985,,0.1269
